date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:56:39	158553/158553	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Oct%202013%2021:51:53%20GMT	http://www.theteafactory.ca/wp-content/themes/theteafactory/library/images/teas-promo.png	C:/Users/RICARDO/Desktop/ASPEL/TEA%20DE%20NUEVO/www.theteafactory.ca/wp-content/themes/theteafactory/library/images/teas-promo.png	(from http://www.theteafactory.ca/)
14:56:40	31043/31043	---M--	200	added ('OK')	image/jpeg	date:Fri,%2018%20Oct%202013%2022:05:09%20GMT	http://www.theteafactory.ca/wp-content/uploads/2013/10/blood_orange_gourmet_tea__63978-307x356.jpg	C:/Users/RICARDO/Desktop/ASPEL/TEA%20DE%20NUEVO/www.theteafactory.ca/wp-content/uploads/2013/10/blood_orange_gourmet_tea__63978-307x356.jpg	(from http://www.theteafactory.ca/our-teas/)
14:56:40	22723/22723	---M-Z	200	added ('OK')	text/html	date:Fri,%2031%20Jan%202014%2020:56:46%20GMT	http://www.theteafactory.ca/tea/blood-orange/	C:/Users/RICARDO/Desktop/ASPEL/TEA%20DE%20NUEVO/www.theteafactory.ca/tea/blood-orange/index.html	(from http://www.theteafactory.ca/our-teas/)
14:56:41	35356/35356	---M--	200	added ('OK')	image/jpeg	date:Fri,%2018%20Oct%202013%2022:05:16%20GMT	http://www.theteafactory.ca/wp-content/uploads/2013/10/ginger_peach_gourmet_tea__81476-307x356.jpg	C:/Users/RICARDO/Desktop/ASPEL/TEA%20DE%20NUEVO/www.theteafactory.ca/wp-content/uploads/2013/10/ginger_peach_gourmet_tea__81476-307x356.jpg	(from http://www.theteafactory.ca/our-teas/)
14:56:45	34109/34109	---M--	200	added ('OK')	image/jpeg	date:Fri,%2018%20Oct%202013%2022:05:24%20GMT	http://www.theteafactory.ca/wp-content/uploads/2013/10/melon_pear_gourmet_tea_bulk__61923-307x356.jpg	C:/Users/RICARDO/Desktop/ASPEL/TEA%20DE%20NUEVO/www.theteafactory.ca/wp-content/uploads/2013/10/melon_pear_gourmet_tea_bulk__61923-307x356.jpg	(from http://www.theteafactory.ca/our-teas/)
14:56:45	31053/31053	---M--	200	added ('OK')	image/jpeg	date:Fri,%2018%20Oct%202013%2022:05:32%20GMT	http://www.theteafactory.ca/wp-content/uploads/2013/10/moonlight_white_gourmet_tea__98888-307x356.jpg	C:/Users/RICARDO/Desktop/ASPEL/TEA%20DE%20NUEVO/www.theteafactory.ca/wp-content/uploads/2013/10/moonlight_white_gourmet_tea__98888-307x356.jpg	(from http://www.theteafactory.ca/our-teas/)
14:56:45	176847/176847	---M--	200	added ('OK')	image/jpeg	date:Fri,%2018%20Oct%202013%2022:10:37%20GMT	http://www.theteafactory.ca/wp-content/uploads/2013/10/autumn_orange_spice_gourmet_tea__85086.jpg	C:/Users/RICARDO/Desktop/ASPEL/TEA%20DE%20NUEVO/www.theteafactory.ca/wp-content/uploads/2013/10/autumn_orange_spice_gourmet_tea__85086.jpg	(from http://www.theteafactory.ca/)
14:56:46	22644/22644	---M-Z	200	added ('OK')	text/html	date:Fri,%2031%20Jan%202014%2020:56:51%20GMT	http://www.theteafactory.ca/tea/ginger-peach/	C:/Users/RICARDO/Desktop/ASPEL/TEA%20DE%20NUEVO/www.theteafactory.ca/tea/ginger-peach/index.html	(from http://www.theteafactory.ca/our-teas/)
14:56:46	22647/22647	---M-Z	200	added ('OK')	text/html	date:Fri,%2031%20Jan%202014%2020:56:51%20GMT	http://www.theteafactory.ca/tea/melon-pear/	C:/Users/RICARDO/Desktop/ASPEL/TEA%20DE%20NUEVO/www.theteafactory.ca/tea/melon-pear/index.html	(from http://www.theteafactory.ca/our-teas/)
14:56:46	22873/22873	---M-Z	200	added ('OK')	text/html	date:Fri,%2031%20Jan%202014%2020:56:52%20GMT	http://www.theteafactory.ca/tea/pomegranate/	C:/Users/RICARDO/Desktop/ASPEL/TEA%20DE%20NUEVO/www.theteafactory.ca/tea/pomegranate/index.html	(from http://www.theteafactory.ca/our-teas/)
